name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
dicraeosaurus,Dicraeosaurus,herbivorous,Herbivorous,Late Jurassic 150-135 million years ago,Late Jurassic ,150-135 million years ago,150,Tanzania,6.369,34.8888,sauropod,Sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Janensch (1914),hansemanni,Hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html
archaeopteryx,Archaeopteryx,carnivorous,Carnivorous,Late Jurassic 147 million years ago,Late Jurassic ,147 million years ago,147,Germany,51.1657,10.4515,small theropod,Small Theropod,0.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,Mayer (1861),lithographica,Lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html
compsognathus,Compsognathus,carnivorous,Carnivorous,Late Jurassic 145-140 million years ago,Late Jurassic ,5-140 million years ago,100,Germany,51.1657,10.4515,small theropod,Small Theropod,0.65m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,Longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html
deltadromeus,Deltadromeus,carnivorous,Carnivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,Morocco,46.8625,103.8467,large theropod,Large Theropod,8.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson (1996),agilis,Agilis,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html
protohadros,Protohadros,herbivorous,Herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,USA,37.0902,-95.7129,euornithopod,Euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,Byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
oryctodromeus,Oryctodromeus,herbivorous,Herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,USA,37.0902,-95.7129,euornithopod,Euornithopod,2.1m,Dinosauria Ornithischia,Varricchio Marin and Katsura (2007),cubicularis,Cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
eolambia,Eolambia,herbivorous,Herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,USA,37.0902,-95.7129,euornithopod,Euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Kirkland (1998),caroljonesa,Caroljonesa,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html
paralititan,Paralititan,herbivorous,Herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,Egypt,26.8206,30.8025,sauropod,Sauropod,28.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),stromeri,Stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
mapusaurus,Mapusaurus,carnivorous,Carnivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99-94 million years ago,99,Argentina,-34.603722,-58.381592,large theropod,Large Theropod,13.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),roseae,Roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
buitreraptor,Buitreraptor,carnivorous,Carnivorous,Late Cretaceous 99-90 million years ago,Late Cretaceous,99-90 million years ago,99,Argentina,-34.603722,-58.381592,small theropod,Small Theropod,1.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),gonzalezorum,Gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html
talarurus,Talarurus,herbivorous,Herbivorous,Late Cretaceous 99-89 million years ago,Late Cretaceous,99-89 million years ago,99,Mongolia,46.8625,103.8467,armoured dinosaur,Armoured Dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),plicatospineus,Plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html
garudimimus,Garudimimus,omnivorous,Omnivorous,Late Cretaceous 99-89 million years ago,Late Cretaceous,99-89 million years ago,99,Mongolia,46.8625,103.8467,large theropod,Large Theropod,4.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,Brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
erlikosaurus,Erlikosaurus,omnivorous,Omnivorous,Late Cretaceous 99-89 million years ago,Late Cretaceous,99-89 million years ago,99,Mongolia,46.8625,103.8467,small theropod,Small Theropod,3.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),andrewsi,Andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
tsagantegia,Tsagantegia,herbivorous,Herbivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99-84 million years ago,99,Mongolia,46.8625,103.8467,armoured dinosaur,Armoured Dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1993),longicranialis,Longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html
graciliceratops,Graciliceratops,herbivorous,Herbivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99-84 million years ago,99,Mongolia,46.8625,103.8467,ceratopsian,Ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Sereno (2000),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
achillobator,Achillobator,carnivorous,Carnivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99-84 million years ago,99,Mongolia,46.8625,103.8467,large theropod,Large Theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,Giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
carcharodontosaurus,Carcharodontosaurus,carnivorous,Carnivorous,Late Cretaceous 98-94 million years ago,Late Cretaceous,98-94 million years ago,98,North Africa,26.0198,32.2778,large theropod,Large Theropod,15.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),saharicus,Saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html
aegyptosaurus,Aegyptosaurus,herbivorous,Herbivorous,Late Cretaceous 98-93 million years ago,Late Cretaceous,98-93 million years ago,98,Egypt,26.8206,30.8025,sauropod,Sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),baharijensis,Baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
segnosaurus,Segnosaurus,carnivorous,Carnivorous,Late Cretaceous 97-88 million years ago,Late Cretaceous,97-88 million years ago,97,Mongolia,46.8625,103.8467,large theropod,Large Theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,Galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
spinosaurus,Spinosaurus,carnivorous,Carnivorous,Late Cretaceous 95-70 million years ago,Late Cretaceous,95-70 million years ago,95,Morocco,46.8625,103.8467,large theropod,Large Theropod,18.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),aegyptiacus,Aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html
archaeornithomimus,Archaeornithomimus,carnivorous,Carnivorous,Late Cretaceous 95-70 million years ago,Late Cretaceous,95-70 million years ago,95,Uzbekistan,41.3775,64.5853,small theropod,Small Theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Russell (1972),asiaticus,Asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html
urbacodon,Urbacodon,carnivorous,Carnivorous,Late Cretaceous 95 million years ago,Late Cretaceous,95 million years ago,95,Uzbekistan,41.3775,64.5853,small theropod,Small Theropod,1.0m,Dinosauria Saurischia,Averianov and Sues (2007),itemirensis,Itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html
rugops,Rugops,carnivorous,Carnivorous,Late Cretaceous 95 million years ago,Late Cretaceous,95 million years ago,95,Niger,17.6078,8.0817,large theropod,Large Theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,Primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
zuniceratops,Zuniceratops,herbivorous,Herbivorous,Late Cretaceous 94-89 million years ago,Late Cretaceous,94-89 million years ago,94,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Wolfe and Kirkland (1998),christopheri,Christopheri,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html
nothronychus,Nothronychus,omnivorous,Omnivorous,Late Cretaceous 94-89 million years ago,Late Cretaceous,94-89 million years ago,94,USA,37.0902,-95.7129,large theropod,Large Theropod,5.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Kirkland and Wolfe (2001),mckinleyi,Mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
unenlagia,Unenlagia,carnivorous,Carnivorous,Late Cretaceous 94-86 million years ago,Late Cretaceous,94-86 million years ago,94,Argentina,-34.603722,-58.381592,small theropod,Small Theropod,2.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Novas and Puerta (1997),comahuensis,Comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html
jaxartosaurus,Jaxartosaurus,herbivorous,Herbivorous,Late Cretaceous 94-84 million years ago,Late Cretaceous,94-84 million years ago,94,Kazakhstan,48.0196,66.9237,euornithopod,Euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Riabinin (1939),aralensis,Aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
aralosaurus,Aralosaurus,herbivorous,Herbivorous,Late Cretaceous 94-84 million years ago,Late Cretaceous,94-84 million years ago,94,Kazakhstan,48.0196,66.9237,euornithopod,Euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),tuberiferus,Tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html
alectrosaurus,Alectrosaurus,carnivorous,Carnivorous,Late Cretaceous 90-70 million years ago,Late Cretaceous,90-70 million years ago,90,Mongolia,46.8625,103.8467,large theropod,Large Theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,Olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
argentinosaurus,Argentinosaurus,herbivorous,Herbivorous,Late Cretaceous 90 million years ago,Late Cretaceous,90 million years ago,90,Argentina,-34.603722,-58.381592,sauropod,Sauropod,35.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte and Coria (1993),huinculensis,Huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html
brachylophosaurus,Brachylophosaurus,herbivorous,Herbivorous,Late Cretaceous 89-88 million years ago,Late Cretaceous,89-88 million years ago,89,USA,37.0902,-95.7129,euornithopod,Euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),canadensis,Canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html
alvarezsaurus,Alvarezsaurus,carnivorous,Carnivorous,Late Cretaceous 89-85 million years ago,Late Cretaceous,89-85 million years ago,89,Argentina,-34.603722,-58.381592,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,Calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
nipponosaurus,Nipponosaurus,herbivorous,Herbivorous,Late Cretaceous 89-84 million years ago,Late Cretaceous,89-84 million years ago,89,Russia,61.524,105.3188,euornithopod,Euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Nagao (1936),sachalinensis,Sachalinensis,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html
tanius,Tanius,herbivorous,Herbivorous,Late Cretaceous 89-65 million years ago,Late Cretaceous,89-65 million years ago,89,China,35.8617,104.1954,euornithopod,Euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Wiman (1929),sinensis,Sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html
sonidosaurus,Sonidosaurus,herbivorous,Herbivorous,Late Cretaceous 89-65 million years ago,Late Cretaceous,89-65 million years ago,89,China,35.8617,104.1954,sauropod,Sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),saihangaobiensis,Saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
quaesitosaurus,Quaesitosaurus,herbivorous,Herbivorous,Late Cretaceous 86-84 million years ago,Late Cretaceous,86-84 million years ago,86,Mongolia,46.8625,103.8467,sauropod,Sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),orientalis,Orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
gryposaurus,Gryposaurus,herbivorous,Herbivorous,Late Cretaceous 86-71 million years ago,Late Cretaceous,86-71 million years ago,86,USA,37.0902,-95.7129,euornithopod,Euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1914),notabilis,Notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
gasparinisaura,Gasparinisaura,herbivorous,Herbivorous,Late Cretaceous 86-71 million years ago,Late Cretaceous,86-71 million years ago,86,Argentina,-34.603722,-58.381592,euornithopod,Euornithopod,0.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),cincosaltensis,Cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
microceratus,Microceratus,herbivorous,Herbivorous,Late Cretaceous 86-66 million years ago,Late Cretaceous,86-66 million years ago,86,Mongolia,46.8625,103.8467,ceratopsian,Ceratopsian,0.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Bohlin (1953),gobiensis,Gobiensis,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
saurornithoides,Saurornithoides,carnivorous,Carnivorous,Late Cretaceous 85-80 million years ago,Late Cretaceous,85-80 million years ago,85,Mongolia,46.8625,103.8467,small theropod,Small Theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
bagaceratops,Bagaceratops,herbivorous,Herbivorous,Late Cretaceous 85-80 million years ago,Late Cretaceous,85-80 million years ago,85,Mongolia,46.8625,103.8467,ceratopsian,Ceratopsian,1.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,Rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html
oviraptor,Oviraptor,omnivorous,Omnivorous,Late Cretaceous 85-75 million years ago,Late Cretaceous,85-75 million years ago,85,Mongolia,46.8625,103.8467,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,Philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
therizinosaurus,Therizinosaurus,unknown,Unknown,Late Cretaceous 85-70 million years ago,Late Cretaceous,85-70 million years ago,85,Mongolia,46.8625,103.8467,large theropod,Large Theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Maleev (1915),cheloniformis,Cheloniformis,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html
lophorhothon,Lophorhothon,herbivorous,Herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,USA,37.0902,-95.7129,euornithopod,Euornithopod,4.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Xu Makovicky Wang Norell and You (1960),atopus,Atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
bambiraptor,Bambiraptor,carnivorous,Carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,USA,37.0902,-95.7129,small theropod,Small Theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),feinbergorum,Feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html
tsintaosaurus,Tsintaosaurus,herbivorous,Herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,China,35.8617,104.1954,euornithopod,Euornithopod,12.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),spinorhinus,Spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
nanshiungosaurus,Nanshiungosaurus,omnivorous,Omnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,China,35.8617,104.1954,large theropod,Large Theropod,4.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Dong (1979),brevispinus,Brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
micropachycephalosaurus,Micropachycephalosaurus,herbivorous,Herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,China,35.8617,104.1954,ceratopsian,Ceratopsian,0.6m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Dong (1978),hongtuyanensis,Hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
bactrosaurus,Bactrosaurus,herbivorous,Herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,China,35.8617,104.1954,euornithopod,Euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,Johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html
masiakasaurus,Masiakasaurus,carnivorous,Carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,Madagascar,18.7669,46.8691,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Sampson Carrano &amp; Forster (2001),knopfleri,Knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
majungasaurus,Majungasaurus,carnivorous,Carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,Madagascar,18.7669,46.8691,large theropod,Large Theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sues &amp; Taquet (1979),atopus,Atopus,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
aucasaurus,Aucasaurus,carnivorous,Carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84-71 million years ago,84,Argentina,-34.603722,-58.381592,large theropod,Large Theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,Garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html
borogovia,Borogovia,carnivorous,Carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),gracilicrus,Gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html
anserimimus,Anserimimus,carnivorous,Carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,Mongolia,46.8625,103.8467,large theropod,Large Theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),planinychus,Planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html
telmatosaurus,Telmatosaurus,herbivorous,Herbivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,Spain,40.4637,3.7492,euornithopod,Euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),transsylvanicus,Transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
dryptosaurus,Dryptosaurus,carnivorous,Carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,USA,37.0902,-95.7129,large theropod,Large Theropod,6.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),aquilunguis,Aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
antarctosaurus,Antarctosaurus,herbivorous,Herbivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,Uruguay,32.5228,55.7658,sauropod,Sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,von Huene (1929),wichmannianus,Wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html
noasaurus,Noasaurus,carnivorous,Carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84-65 million years ago,84,Argentina,-34.603722,-58.381592,small theropod,Small Theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Bonaparte and Powell (1980),leali,Leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
struthiosaurus,Struthiosaurus,herbivorous,Herbivorous,Late Cretaceous 83-75 million years ago,Late Cretaceous,83-75 million years ago,83,Spain,40.4637,3.7492,armoured dinosaur,Armoured Dinosaur,2.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),austriacus,Austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
achelousaurus,Achelousaurus,herbivorous,Herbivorous,Late Cretaceous 83-70 million years ago,Late Cretaceous,83-70 million years ago,83,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson (1995),horneri,Horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
conchoraptor,Conchoraptor,carnivorous,Carnivorous,Late Cretaceous 81-76 million years ago,Late Cretaceous,81-76 million years ago,81,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),gracilis,Gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
