name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
chindesaurus,Chindesaurus,carnivorous,Carnivorous,Late Triassic 227-210 million years ago,Late Triassic ,227-210 million years ago,227,USA,37.0902,-95.7129,small theropod,Small Theropod,4.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Long and Murry (1995),bryansmalli,Bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html
thecodontosaurus,Thecodontosaurus,omnivorous,Omnivorous,Late Triassic 227-205 million years ago,Late Triassic ,227-205 million years ago,227,United Kingdom,55.3781,3.436,sauropod,Sauropod,2.5m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),antiquus,Antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html
coelophysis,Coelophysis,carnivorous,Carnivorous,Late Triassic 225-190 million years ago,Late Triassic ,225-190 million years ago,225,Zimbabwe,19.0154,29.1549,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,bauri,,,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html
saltopus,Saltopus,carnivorous,Carnivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,United Kingdom,55.3781,3.436,small theropod,Small Theropod,,Dinosauria,Huene (1910),elginensis,Elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
procompsognathus,Procompsognathus,carnivorous,Carnivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,Germany,51.1657,10.4515,small theropod,Small Theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,Triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
guaibasaurus,Guaibasaurus,herbivorous,Herbivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,Brazil,-14.235,-51.9253,small theropod,Small Theropod,1.8m,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),candelariensis,Candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
riojasaurus,Riojasaurus,herbivorous/omnivorous,Herbivorous/Omnivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,Argentina,-34.603722,-58.381592,sauropod,Sauropod,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,Incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
mussaurus,Mussaurus,herbivorous,Herbivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,Argentina,-34.603722,-58.381592,sauropod,Sauropod,3.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte and Vince (1979),patagonicus,Patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
coloradisaurus,Coloradisaurus,omnivorous,Omnivorous,Late Triassic 221-210 million years ago,Late Triassic ,221-210 million years ago,221,Argentina,-34.603722,-58.381592,sauropod,Sauropod,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte (1978),brevis,Brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
plateosaurus,Plateosaurus,herbivorous,Herbivorous,Late Triassic 210 million years ago,Late Triassic ,210 million years ago,210,Switzerland,46.8182,8.2275,sauropod,Sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,Engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
liliensternus,Liliensternus,carnivorous,Carnivorous,Late Triassic 205-202 million years ago,Late Triassic ,205-202 million years ago,205,Germany,51.1657,10.4515,small theropod,Small Theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda,Huene (1934),liliensterni,Liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
lycorhinus,Lycorhinus,herbivorous,Herbivorous,Late Triassic 205-195 million years ago,Late Triassic ,205-195 million years ago,205,South Africa,30.5595,22.9375,euornithopod,Euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),angustidens,Angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
chirostenotes,Chirostenotes,omnivorous,Omnivorous,Late Jurassic 79-67 million years ago,Late Jurassic ,79-67 million years ago,79,Canada,56.1304,-106.3468,small theropod,Small Theropod,1.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),pergracilis,Pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
dubreuillosaurus,Dubreuillosaurus,carnivorous,Carnivorous,Late Jurassic 169-164 million years ago,Late Jurassic ,169-164 million years ago,169,France,46.2276,2.2137,large theropod,Large Theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Allain (2005),valesdunensis,Valesdunensis,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
agilisaurus,Agilisaurus,herbivorous,Herbivorous,Late Jurassic 169-159 million years ago,Late Jurassic ,169-159 million years ago,169,China,35.8617,104.1954,euornithopod,Euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,Louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
piatnitzkysaurus,Piatnitzkysaurus,carnivorous,Carnivorous,Late Jurassic 164-159 million years ago,Late Jurassic ,164-159 million years ago,164,Argentina,-34.603722,-58.381592,large theropod,Large Theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,Floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
yangchuanosaurus,Yangchuanosaurus,carnivorous,Carnivorous,Late Jurassic 160-144 million years ago,Late Jurassic ,160-144 million years ago,160,China,35.8617,104.1954,large theropod,Large Theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Dong Chang Li and Zhou (1978),shangyouensis,Shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html
metriacanthosaurus,Metriacanthosaurus,carnivorous,Carnivorous,Late Jurassic 159-154 million years ago,Late Jurassic ,159-154 million years ago,159,United Kingdom,55.3781,3.436,large theropod,Large Theropod,8.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Walker (1964),parkeri,Parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
guanlong,Guanlong,carnivorous,Carnivorous,Late Jurassic 159-154 million years ago,Late Jurassic ,159-154 million years ago,159,China,35.8617,104.1954,small theropod,Small Theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),wucaii,Wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
